#blinkered/attestations/2 language=fa words=23570 sources=7 built=2026-09-24 digest=892e463e9f53647f
#tokens ebible:pesopcb=463283 fw2=1265627890 ia=98576045 lz:fas_news_2023_1M=503889 lz:fas_news_2024_1M=516053 tat=169490 wiki:fa=250738816 wikisource:fa=6225643
دردسرهایی	fw2,ia,lz:fas_news_2024_1M,wiki:fa,wikisource:fa	1077,35,1,54,2	fw2:http://sarysary.blogfa.com/ fw2:http://www.itsn.ir/ ia:1341135701/%D8%AE%D8%A7%D8%B7%D8%B1%D8%A7%D8%AA%20%D8%AF%DA%A9%D8%AA%D8%B1%D8%AD%D8%B3%D9%86%20%D8%B1%D9%88%D8%AD%D8%A7%D9%86%DB%8C%20%D8%A7%D9%86%D9%82%D9%84%D8%A7%D8%A8%20(1341_1357)-01_djvu.txt ia:1800176002/%D8%B9%D8%B5%D8%B1%20%D8%A7%D9%86%D9%82%D9%84%D8%A7%D8%A8%20%D8%AF%D9%85%D9%88%DA%A9%D8%B1%D8%A7%D8%AA%DB%8C%DA%A9(%D8%AA%D8%A7%D8%B1%DB%8C%D8%AE%20%D8%B3%DB%8C%D8%A7%D8%B3%DB%8C%20%D8%A7%D8%B1%D9%88%D9%BE%D8%A7%20%D9%88%20%D8%A7%D9%85%D8%B1%DB%8C%DA%A9%D8%A71800-1760)%DA%A9%D8%B4%D8%A7%DA%A9%D8%B4%20%D9%88%20%D9%86%D8%A8%D8%B1%D8%AF-%D8%B1%D8%A7%D8%A8%D8%B1%D8%AA%20%D8%B1%D9%88%D8%B2%D9%88%D9%84-02_djvu.txt lz:fas_news_2024_1M:https://www.mehrnews.com/news/6321217/%D8%AE%D8%A8%D8%B1-%D8%AA%D8%B9%D8%B7%DB%8C%D9%84%DB%8C-%D9%BE%D8%A7%DB%8C%DA%AF%D8%A7%D9%87-%D8%A7%D9%88%D8%B1%DA%98%D8%A7%D9%86%D8%B3-%D8%AF%D8%B1-%DB%8C%D8%A7%D8%B3%D9%88%D8%AC-%D8%AA%DA%A9%D8%B0%DB%8C%D8%A8-%D8%B4 wiki:fa:23514 wiki:fa:32864 wikisource:fa:20522 wikisource:fa:23626
سیلوانا	fw2,ia,lz:fas_news_2023_1M,wiki:fa	386,56,1,206	fw2:http://anthropology.ir/node/3265 fw2:http://volleyballnew.mihanblog.com/post/1620 ia:1361_20200815/%D8%A7%D8%B7%D9%84%D8%A7%D8%B9%D8%A7%D8%AA%20%D8%B3%D8%A7%D9%84%201351_djvu.txt ia:abu-abdurahman-kurdi-f_barid_01_20171224_0100/%D8%AF%D8%A7%DB%8C%D8%B1%D8%A9%20%D8%A7%D9%84%D9%85%D8%B9%D8%A7%D8%B1%D9%81%20%D8%B3%D8%B1%D8%B2%D9%85%DB%8C%D9%86%20%D9%88%D9%85%D8%B1%D8%AF%D9%85%20%D8%A7%DB%8C%D8%B1%D8%A7%D9%86-01_djvu.txt lz:fas_news_2023_1M:https://www.aminnews.ir/%d8%a2%db%8c%d8%a7-%d8%af%d8%b1%d8%af-%d8%b2%d8%a7%db%8c%d9%85%d8%a7%d9%86-%d8%b2%d9%86%d8%a7%d9%86-%d9%88%d8%b1%d8%b2%d8%b4%da%a9%d8%a7%d8%b1-%da%a9%d9%85%d8%aa%d8%b1-%d8%a7%d8%b3%d8%aa%d8%9f/ wiki:fa:2635 wiki:fa:2652
توسکا	fw2,ia,wiki:fa,wikisource:fa	1605,39,465,1	fw2:http://www.raghseparvaneha.blogfa.com/cat-7.aspx fw2:http://www.mazandaran.blogsky.com/79 ia:1924189102/%D8%AA%D8%B1%D8%A7%DA%98%D8%AF%DB%8C%20%D9%85%D8%B1%D8%AF%D9%85-%D8%A7%D9%86%D9%82%D9%84%D8%A7%D8%A8%20%D8%B1%D9%88%D8%B3%DB%8C%D9%87(1924-1891)%D8%A7%D9%88%D8%B1%D9%84%D8%A7%D9%86%D8%AF%D9%88%20%D9%81%D8%A7%DB%8C%D8%AC%D8%B3-02-%D8%AA%D8%A7%D8%B1%DB%8C%D8%AE%20%D8%B3%DB%8C%D8%A7%D8%B3%DB%8C_djvu.txt ia:McGillLibrary-105264-260/105264_djvu.txt wiki:fa:1292 wiki:fa:1577 wikisource:fa:20796
مورف	fw2,ia,wiki:fa	181,288,154	fw2:http://laboratoryscience.persianblog.ir/tag/%D9%87%D9%85%D8%A7%D8%AA%D9%88%D9%84%D9%88%DA%98%DB%8C fw2:http://www.keshavarzee.ir/%EF%BF%BD%EF%BF%BD%EF%BF%BD%EF%BF%BD%EF%BF%BD%EF%BF%BD%EF%BF%BD%EF%BF%BD-%EF%BF%BD%EF%BF%BD%EF%BF%BD%EF%BF%BD%EF%BF%BD%EF%BF%BD-%EF%BF%BD%EF%BF%BD%EF%BF%BD%EF%BF%BD%EF%BF%BD%EF%BF%BD%EF%BF%BD%EF%BF%BD%EF%BF%BD%EF%BF%BD%EF%BF%BD%EF%BF%BD-%EF%BF%BD%EF%BF%BD%EF%BF%BD%EF%BF%BD%EF%BF%BD%EF%BF%BD%EF%BF%BD%EF%BF%BD%EF%BF%BD%EF%BF%BD/ ia:04_20200421_20200421/%D8%A8%D8%AE%D8%A7%D8%B1%DB%8C%20%D9%85%D8%AA%D8%B1%D8%AC%D9%85.%2001_djvu.txt ia:1341135701/%D8%AE%D8%A7%D8%B7%D8%B1%D8%A7%D8%AA%20%D8%AF%DA%A9%D8%AA%D8%B1%D8%AD%D8%B3%D9%86%20%D8%B1%D9%88%D8%AD%D8%A7%D9%86%DB%8C%20%D8%A7%D9%86%D9%82%D9%84%D8%A7%D8%A8%20(1341_1357)-01_djvu.txt wiki:fa:14515 wiki:fa:24536
پاورچین	fw2,ia,lz:fas_news_2024_1M,wiki:fa,wikisource:fa	818,28,1,42,4	fw2:http://www.ghabeshishei.parsiblog.com/Archive/%D8%B3%D9%87%D8%B1%D8%A7%D8%A8+%D8%B3%D9%BE%D9%87%D8%B1%D9%8A/ fw2:http://14theco.blogfa.com/8807.aspx ia:1924189102/%D8%AA%D8%B1%D8%A7%DA%98%D8%AF%DB%8C%20%D9%85%D8%B1%D8%AF%D9%85-%D8%A7%D9%86%D9%82%D9%84%D8%A7%D8%A8%20%D8%B1%D9%88%D8%B3%DB%8C%D9%87(1924-1891)%D8%A7%D9%88%D8%B1%D9%84%D8%A7%D9%86%D8%AF%D9%88%20%D9%81%D8%A7%DB%8C%D8%AC%D8%B3-02-%D8%AA%D8%A7%D8%B1%DB%8C%D8%AE%20%D8%B3%DB%8C%D8%A7%D8%B3%DB%8C_djvu.txt ia:McGillLibrary-118539-1394/118539_djvu.txt lz:fas_news_2024_1M:https://www.hamshahrionline.ir/news/889483/%D8%B9%DA%A9%D8%B3-%D9%87%D8%AF%DB%8C%D9%87-%D8%B1%D9%87%D8%A8%D8%B1-%D8%A7%D9%86%D9%82%D9%84%D8%A7%D8%A8-%D8%A8%D9%87-%D8%AF%D8%B3%D8%AA-%D8%B3%D9%81%DB%8C%D8%B1-%D9%85%D8%AC%D8%B1%D9%88%D8%AD-%D8%A7%DB%8C%D8%B1 wiki:fa:15089 wiki:fa:49184 wikisource:fa:20472 wikisource:fa:29570
ازادتر	fw2,ia,wiki:fa,wikisource:fa	1196,157,165,3	fw2:http://www.shahvani.com/content/%D8%B4%DB%8C%D8%B1%DB%8C%D9%86-%D8%AC%D8%A7%D9%86-%D9%88-%D9%85%D9%86%D9%88%DA%86%D9%87%D8%B1 fw2:http://vista.ir/article/349200 ia:1347134801/%DB%8C%D8%A7%D8%AF%D8%A7%D8%B4%D8%AA%D9%87%D8%A7%DB%8C%20%D8%B9%D9%84%D9%85-1347-1348-%D8%A7%D9%85%DB%8C%D8%B1%20%D8%A7%D8%B3%D8%AF%D8%A7%D9%84%D9%84%D9%87-01_djvu.txt ia:1349135102/%DB%8C%D8%A7%D8%AF%D8%A7%D8%B4%D8%AA%D9%87%D8%A7%DB%8C%20%D8%B9%D9%84%D9%85-1349-1351-%D8%A7%D9%85%DB%8C%D8%B1%20%D8%A7%D8%B3%D8%AF%D8%A7%D9%84%D9%84%D9%87-02_djvu.txt wiki:fa:2860 wiki:fa:3918 wikisource:fa:20473 wikisource:fa:41825
هیستری	fw2,ia,wiki:fa	886,172,309	fw2:http://tabiibane.blogfa.com/post-10.aspx fw2:http://articlepersian.persianblog.ir/post/89/ ia:20190910_20190910_1852/%D9%87%D9%85%D8%A8%D8%B3%D8%AA%D8%B1%DB%8C%20%D8%A8%D8%A7%20%DA%A9%D9%86%DB%8C%D8%B2%D8%A7%D9%86_djvu.txt ia:YakGamBaPeshDoGamBaPasLenin/yak_gam_ba_pesh_do_gam_ba_pas_lenin_djvu.txt wiki:fa:10163 wiki:fa:13301
تندنویس	fw2,ia,wiki:fa,wikisource:fa	47,27,38,20	fw2:https://www.1pezeshk.com/archives/2009/05/the-masterpiece-that-killed-george-orwell.html?replytocom=35955 fw2:https://translate68.ir/%D8%A7%D8%AF%D8%A8%DB%8C%D8%A7%D8%AA-%D8%B1%D8%A6%D8%A7%D9%84%DB%8C%D8%B3%D9%85/ ia:abu-abdurahman-kurdi-f_barid_20171224_0100/%D8%AA%D8%A7%D8%B1%DB%8C%D8%AE%20%D8%AA%D9%85%D8%AF%D9%86-%D9%88%DB%8C%D9%84%20%D8%AF%D9%88%D8%B1%D8%A7%D9%86%D8%AA_djvu.txt ia:abu-abdurahman-kurdi-f_barid_20171224_0122/%D8%AA%D8%A7%D8%B1%DB%8C%D8%AE%20%D8%AA%D9%85%D8%AF%D9%86-%D9%88%DB%8C%D9%84%20%D8%AF%D9%88%D8%B1%D8%A7%D9%86%D8%AA_djvu.txt wiki:fa:20907 wiki:fa:33100 wikisource:fa:22018 wikisource:fa:22106
تقدسی	fw2,ia,lz:fas_news_2023_1M,wiki:fa,wikisource:fa	449,39,1,155,2	fw2:http://www.aryaadib.blogfa.com/ fw2:http://www.tebyan-zn.ir/News-Article/Art/2012/12/19/87852.html ia:08521765-0698-4cb9-b838-d6c563d68f3f/%D8%A2%D9%85%D9%88%D8%B2%D8%B4_%D9%86%D9%88%D9%85%D8%B1%D9%88%D9%84%D9%88%DA%98%DB%8C_%DB%8C%D8%A7_%D8%B9%D9%84%D9%85_%D8%A7%D8%B9%D8%AF%D8%A7%D8%AF_%D9%88_%DA%A9%D8%A7%D8%A8%D8%A7%D9%84%D8%A7_djvu.txt ia:20200408_20200408_1235/(%D8%A7%D9%84%D8%A7%D9%87%DB%8C%D8%A7%D8%AA%20%D9%85%D8%B3%DB%8C%D8%AD%DB%8C%20(%D9%87%D9%86%D8%B1%DB%8C%20%D8%AA%DB%8C%D8%B3%D9%86_djvu.txt lz:fas_news_2023_1M:https://www.mehrnews.com/news/5759765/%D8%A8%D8%B1%D8%B1%D8%B3%DB%8C-%D8%AF%D9%BE%D9%88%DB%8C-%DB%B3%DB%B0%DB%B0-%D9%87%D8%B2%D8%A7%D8%B1-%D8%AA%D9%86-%D8%A8%D8%B1%D9%86%D8%AC-%D8%AF%D8%B1-%D8%AC%D9%84%D8%B3%D9%87-%D9%85%D8%AC%D9%85%D8%B9-%D9%86%D9%85%D8% wiki:fa:20777 wiki:fa:26156 wikisource:fa:32785
حسم	fw2,ia,wiki:fa	654,307,10	fw2:http://radiohaft.blogfa.com/tag/%D8%B1%D8%A7%D8%AF%DB%8C%D9%88-7 fw2:http://sheerin.blogfa.com/ ia:08521765-0698-4cb9-b838-d6c563d68f3f/%D8%A2%D9%85%D9%88%D8%B2%D8%B4_%D9%86%D9%88%D9%85%D8%B1%D9%88%D9%84%D9%88%DA%98%DB%8C_%DB%8C%D8%A7_%D8%B9%D9%84%D9%85_%D8%A7%D8%B9%D8%AF%D8%A7%D8%AF_%D9%88_%DA%A9%D8%A7%D8%A8%D8%A7%D9%84%D8%A7_djvu.txt ia:10SurahYunusTafsirKashafalasrarEasheeduddinAlmeybodi/10%20Surah%20Yunus%20Tafsir%20Kashafalasrar%20Easheeduddin%20Almeybodi_djvu.txt wiki:fa:14005 wiki:fa:256200
